title,difficulty,topic,platform,url
Merge K Sorted Lists,Hard,Linked List,LeetCode,https://leetcode.com/problems/merge-k-sorted-lists/
Swap Nodes in Pairs,Medium,Linked List,LeetCode,https://leetcode.com/problems/swap-nodes-in-pairs/
Reverse Nodes in k-Group,Hard,Linked List,LeetCode,https://leetcode.com/problems/reverse-nodes-in-k-group/
Remove Duplicates from Sorted Array,Easy,Array,LeetCode,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
Remove Element,Easy,Array,LeetCode,https://leetcode.com/problems/remove-element/
Implement strStr(),Easy,String,LeetCode,https://leetcode.com/problems/implement-strstr/
Divide Two Integers,Medium,Math,LeetCode,https://leetcode.com/problems/divide-two-integers/
Substring with Concatenation of All Words,Hard,Sliding Window,LeetCode,https://leetcode.com/problems/substring-with-concatenation-of-all-words/
Next Permutation,Medium,Array,LeetCode,https://leetcode.com/problems/next-permutation/
Search in Rotated Sorted Array,Medium,Binary Search,LeetCode,https://leetcode.com/problems/search-in-rotated-sorted-array/
Find First and Last Position of Element in Sorted Array,Medium,Binary Search,LeetCode,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
Search Insert Position,Easy,Binary Search,LeetCode,https://leetcode.com/problems/search-insert-position/
Valid Sudoku,Medium,Hash Table,LeetCode,https://leetcode.com/problems/valid-sudoku/
Sudoku Solver,Hard,Backtracking,LeetCode,https://leetcode.com/problems/sudoku-solver/
Count and Say,Medium,String,LeetCode,https://leetcode.com/problems/count-and-say/
Combination Sum,Medium,Backtracking,LeetCode,https://leetcode.com/problems/combination-sum/
Combination Sum II,Medium,Backtracking,LeetCode,https://leetcode.com/problems/combination-sum-ii/
First Missing Positive,Hard,Array,LeetCode,https://leetcode.com/problems/first-missing-positive/
Trapping Rain Water,Hard,Two Pointers,LeetCode,https://leetcode.com/problems/trapping-rain-water/
Multiply Strings,Medium,String,LeetCode,https://leetcode.com/problems/multiply-strings/
Wildcard Matching,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/wildcard-matching/
Jump Game,Medium,Greedy,LeetCode,https://leetcode.com/problems/jump-game/
Merge Intervals,Medium,Interval,LeetCode,https://leetcode.com/problems/merge-intervals/
Insert Interval,Medium,Interval,LeetCode,https://leetcode.com/problems/insert-interval/
Length of Last Word,Easy,String,LeetCode,https://leetcode.com/problems/length-of-last-word/
Spiral Matrix,Medium,Array,LeetCode,https://leetcode.com/problems/spiral-matrix/
Jump Game II,Medium,Greedy,LeetCode,https://leetcode.com/problems/jump-game-ii/
Permutations,Medium,Backtracking,LeetCode,https://leetcode.com/problems/permutations/
Permutations II,Medium,Backtracking,LeetCode,https://leetcode.com/problems/permutations-ii/
Rotate Image,Medium,Matrix,LeetCode,https://leetcode.com/problems/rotate-image/
Group Anagrams,Medium,Hash Table,LeetCode,https://leetcode.com/problems/group-anagrams/
"Pow(x, n)",Medium,Math,LeetCode,https://leetcode.com/problems/powx-n/
Maximum Subarray,Easy,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximum-subarray/
N-Queens,Hard,Backtracking,LeetCode,https://leetcode.com/problems/n-queens/
N-Queens II,Hard,Backtracking,LeetCode,https://leetcode.com/problems/n-queens-ii/
Maximum Product Subarray,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximum-product-subarray/
Rotate List,Medium,Linked List,LeetCode,https://leetcode.com/problems/rotate-list/
Unique Paths,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/unique-paths/
Unique Paths II,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/unique-paths-ii/
Minimum Path Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/minimum-path-sum/
Climbing Stairs,Easy,Dynamic Programming,LeetCode,https://leetcode.com/problems/climbing-stairs/
Edit Distance,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/edit-distance/
Set Matrix Zeroes,Medium,Matrix,LeetCode,https://leetcode.com/problems/set-matrix-zeroes/
Sort Colors,Medium,Two Pointers,LeetCode,https://leetcode.com/problems/sort-colors/
Minimum Window Substring,Hard,Sliding Window,LeetCode,https://leetcode.com/problems/minimum-window-substring/
Combinations,Medium,Backtracking,LeetCode,https://leetcode.com/problems/combinations/
Subsets,Medium,Backtracking,LeetCode,https://leetcode.com/problems/subsets/
Subsets II,Medium,Backtracking,LeetCode,https://leetcode.com/problems/subsets-ii/
Decode Ways,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/decode-ways/
Reverse Linked List,Easy,Linked List,LeetCode,https://leetcode.com/problems/reverse-linked-list/
House Robber,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/house-robber/
House Robber II,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/house-robber-ii/
Binary Tree Inorder Traversal,Easy,Tree,LeetCode,https://leetcode.com/problems/binary-tree-inorder-traversal/
Binary Tree Preorder Traversal,Easy,Tree,LeetCode,https://leetcode.com/problems/binary-tree-preorder-traversal/
Binary Tree Postorder Traversal,Easy,Tree,LeetCode,https://leetcode.com/problems/binary-tree-postorder-traversal/
Validate Binary Search Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/validate-binary-search-tree/
Same Tree,Easy,Tree,LeetCode,https://leetcode.com/problems/same-tree/
Symmetric Tree,Easy,Tree,LeetCode,https://leetcode.com/problems/symmetric-tree/
Maximum Depth of Binary Tree,Easy,Tree,LeetCode,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Construct Binary Tree from Preorder and Inorder Traversal,Medium,Tree,LeetCode,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Binary Tree Level Order Traversal,Medium,Tree,LeetCode,https://leetcode.com/problems/binary-tree-level-order-traversal/
Convert Sorted Array to Binary Search Tree,Easy,Tree,LeetCode,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/
Path Sum,Easy,Tree,LeetCode,https://leetcode.com/problems/path-sum/
Path Sum II,Medium,Tree,LeetCode,https://leetcode.com/problems/path-sum-ii/
Populating Next Right Pointers in Each Node,Medium,Tree,LeetCode,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/
Flatten Binary Tree to Linked List,Medium,Tree,LeetCode,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
Best Time to Buy and Sell Stock,Easy,Array,LeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Best Time to Buy and Sell Stock II,Medium,Array,LeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
Best Time to Buy and Sell Stock III,Hard,Array,LeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
Best Time to Buy and Sell Stock IV,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
Binary Tree Maximum Path Sum,Hard,Tree,LeetCode,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Linked List Cycle,Easy,Linked List,LeetCode,https://leetcode.com/problems/linked-list-cycle/
Linked List Cycle II,Medium,Linked List,LeetCode,https://leetcode.com/problems/linked-list-cycle-ii/
Reorder List,Medium,Linked List,LeetCode,https://leetcode.com/problems/reorder-list/
LRU Cache,Medium,Design,LeetCode,https://leetcode.com/problems/lru-cache/
Binary Tree Zigzag Level Order Traversal,Medium,Tree,LeetCode,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
Kth Smallest Element in a BST,Medium,Tree,LeetCode,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
Product of Array Except Self,Medium,Array,LeetCode,https://leetcode.com/problems/product-of-array-except-self/
Find Minimum in Rotated Sorted Array,Medium,Binary Search,LeetCode,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Find Peak Element,Medium,Binary Search,LeetCode,https://leetcode.com/problems/find-peak-element/
Maximum Length of Repeated Subarray,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximum-length-of-repeated-subarray/
Coin Change,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/coin-change/
Coin Change II,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/coin-change-ii/
Subarray Sum Equals K,Medium,Hash Table,LeetCode,https://leetcode.com/problems/subarray-sum-equals-k/
Longest Consecutive Sequence,Medium,Array,LeetCode,https://leetcode.com/problems/longest-consecutive-sequence/
Insert Delete GetRandom O(1),Medium,Design,LeetCode,https://leetcode.com/problems/insert-delete-getrandom-o1/
Sort List,Medium,Linked List,LeetCode,https://leetcode.com/problems/sort-list/
Maximum Length of Pair Chain,Medium,Greedy,LeetCode,https://leetcode.com/problems/maximum-length-of-pair-chain/
Minimum Size Subarray Sum,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/minimum-size-subarray-sum/
Find All Anagrams in a String,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/find-all-anagrams-in-a-string/
Minimum ASCII Delete Sum for Two Strings,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/
Range Sum Query - Immutable,Easy,Prefix Sum,LeetCode,https://leetcode.com/problems/range-sum-query-immutable/
Range Sum Query 2D - Immutable,Medium,Prefix Sum,LeetCode,https://leetcode.com/problems/range-sum-query-2d-immutable/
Target Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/target-sum/
Find Duplicate Subtrees,Medium,Tree,LeetCode,https://leetcode.com/problems/find-duplicate-subtrees/
Construct Binary Tree from Inorder and Postorder Traversal,Medium,Tree,LeetCode,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/
Serialize and Deserialize Binary Tree,Hard,Tree,LeetCode,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
Word Break,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/word-break/
Word Break II,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/word-break-ii/
Longest Increasing Subsequence,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/longest-increasing-subsequence/
Number of Islands,Medium,Graph,LeetCode,https://leetcode.com/problems/number-of-islands/
Clone Graph,Medium,Graph,LeetCode,https://leetcode.com/problems/clone-graph/
Course Schedule,Medium,Graph,LeetCode,https://leetcode.com/problems/course-schedule/
Course Schedule II,Medium,Graph,LeetCode,https://leetcode.com/problems/course-schedule-ii/
Pacific Atlantic Water Flow,Medium,Graph,LeetCode,https://leetcode.com/problems/pacific-atlantic-water-flow/
Graph Valid Tree,Medium,Graph,LeetCode,https://leetcode.com/problems/graph-valid-tree/
Redundant Connection,Medium,Graph,LeetCode,https://leetcode.com/problems/redundant-connection/
Number of Connected Components in an Undirected Graph,Medium,Graph,LeetCode,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
Accounts Merge,Medium,Graph,LeetCode,https://leetcode.com/problems/accounts-merge/
Longest Increasing Path in a Matrix,Hard,Graph,LeetCode,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
Alien Dictionary,Hard,Graph,LeetCode,https://leetcode.com/problems/alien-dictionary/
Cheapest Flights Within K Stops,Medium,Graph,LeetCode,https://leetcode.com/problems/cheapest-flights-within-k-stops/
Word Search,Medium,Backtracking,LeetCode,https://leetcode.com/problems/word-search/
Word Search II,Hard,Backtracking,LeetCode,https://leetcode.com/problems/word-search-ii/
Top K Frequent Elements,Medium,Heap,LeetCode,https://leetcode.com/problems/top-k-frequent-elements/
Kth Largest Element in an Array,Medium,Heap,LeetCode,https://leetcode.com/problems/kth-largest-element-in-an-array/
Find Median from Data Stream,Hard,Heap,LeetCode,https://leetcode.com/problems/find-median-from-data-stream/
Task Scheduler,Medium,Greedy,LeetCode,https://leetcode.com/problems/task-scheduler/
Implement Trie (Prefix Tree),Medium,Trie,LeetCode,https://leetcode.com/problems/implement-trie-prefix-tree/
Design Add and Search Words Data Structure,Medium,Trie,LeetCode,https://leetcode.com/problems/design-add-and-search-words-data-structure/
Maximum XOR of Two Numbers in an Array,Medium,Bit Manipulation,LeetCode,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/
Single Number,Easy,Bit Manipulation,LeetCode,https://leetcode.com/problems/single-number/
Single Number II,Medium,Bit Manipulation,LeetCode,https://leetcode.com/problems/single-number-ii/
Missing Number,Easy,Bit Manipulation,LeetCode,https://leetcode.com/problems/missing-number/
Bitwise AND of Numbers Range,Medium,Bit Manipulation,LeetCode,https://leetcode.com/problems/bitwise-and-of-numbers-range/
Largest Rectangle in Histogram,Hard,Stack,LeetCode,https://leetcode.com/problems/largest-rectangle-in-histogram/
Daily Temperatures,Medium,Stack,LeetCode,https://leetcode.com/problems/daily-temperatures/
Evaluate Reverse Polish Notation,Medium,Stack,LeetCode,https://leetcode.com/problems/evaluate-reverse-polish-notation/
Basic Calculator,Hard,Stack,LeetCode,https://leetcode.com/problems/basic-calculator/
Basic Calculator II,Medium,Stack,LeetCode,https://leetcode.com/problems/basic-calculator-ii/
Sliding Window Maximum,Hard,Deque,LeetCode,https://leetcode.com/problems/sliding-window-maximum/
Merge Sorted Array,Easy,Array,LeetCode,https://leetcode.com/problems/merge-sorted-array/
Sort an Array,Medium,Sort,LeetCode,https://leetcode.com/problems/sort-an-array/
Find All Duplicates in an Array,Medium,Array,LeetCode,https://leetcode.com/problems/find-all-duplicates-in-an-array/
Binary Search,Easy,Binary Search,LeetCode,https://leetcode.com/problems/binary-search/
Search a 2D Matrix,Medium,Binary Search,LeetCode,https://leetcode.com/problems/search-a-2d-matrix/
Koko Eating Bananas,Medium,Binary Search,LeetCode,https://leetcode.com/problems/koko-eating-bananas/
Search a 2D Matrix II,Medium,Binary Search,LeetCode,https://leetcode.com/problems/search-a-2d-matrix-ii/
Peak Index in a Mountain Array,Medium,Binary Search,LeetCode,https://leetcode.com/problems/peak-index-in-a-mountain-array/
Maximum Number of Balloons,Easy,String,LeetCode,https://leetcode.com/problems/maximum-number-of-balloons/
Binary Tree Right Side View,Medium,Tree,LeetCode,https://leetcode.com/problems/binary-tree-right-side-view/
Number of Provinces,Medium,Graph,LeetCode,https://leetcode.com/problems/number-of-provinces/
Find K Pairs with Smallest Sums,Medium,Heap,LeetCode,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
Sliding Puzzle,Hard,Graph,LeetCode,https://leetcode.com/problems/sliding-puzzle/
Decode String,Medium,Stack,LeetCode,https://leetcode.com/problems/decode-string/
Restore IP Addresses,Medium,Backtracking,LeetCode,https://leetcode.com/problems/restore-ip-addresses/
Maximum Score of a Good Subarray,Hard,Two Pointers,LeetCode,https://leetcode.com/problems/maximum-score-of-a-good-subarray/
Longest Valid Parentheses,Hard,Stack,LeetCode,https://leetcode.com/problems/longest-valid-parentheses/
Minimum Height Trees,Medium,Graph,LeetCode,https://leetcode.com/problems/minimum-height-trees/
Split Array Largest Sum,Hard,Binary Search,LeetCode,https://leetcode.com/problems/split-array-largest-sum/
Maximum Frequency Stack,Hard,Design,LeetCode,https://leetcode.com/problems/maximum-frequency-stack/
Network Delay Time,Medium,Graph,LeetCode,https://leetcode.com/problems/network-delay-time/
Reconstruct Itinerary,Hard,Graph,LeetCode,https://leetcode.com/problems/reconstruct-itinerary/
Path With Minimum Effort,Medium,Graph,LeetCode,https://leetcode.com/problems/path-with-minimum-effort/
Open the Lock,Medium,Graph,LeetCode,https://leetcode.com/problems/open-the-lock/
Longest Arithmetic Subsequence,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/longest-arithmetic-subsequence/
Maximum Sum Circular Subarray,Medium,Array,LeetCode,https://leetcode.com/problems/maximum-sum-circular-subarray/
Subarrays with K Different Integers,Hard,Sliding Window,LeetCode,https://leetcode.com/problems/subarrays-with-k-different-integers/
Linked List Random Node,Medium,Reservoir Sampling,LeetCode,https://leetcode.com/problems/linked-list-random-node/
Longest Palindromic Subsequence,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/longest-palindromic-subsequence/
Word Ladder,Hard,Graph,LeetCode,https://leetcode.com/problems/word-ladder/
Word Ladder II,Hard,Graph,LeetCode,https://leetcode.com/problems/word-ladder-ii/
Dungeon Game,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/dungeon-game/
Russian Doll Envelopes,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/russian-doll-envelopes/
House Robber III,Medium,Tree,LeetCode,https://leetcode.com/problems/house-robber-iii/
Path Sum III,Medium,Tree,LeetCode,https://leetcode.com/problems/path-sum-iii/
Lowest Common Ancestor of a Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
Lowest Common Ancestor of a Binary Search Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
Minimum Cost For Tickets,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/minimum-cost-for-tickets/
Partition Equal Subset Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/partition-equal-subset-sum/
Maximum Profit in Job Scheduling,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximum-profit-in-job-scheduling/
LFU Cache,Hard,Design,LeetCode,https://leetcode.com/problems/lfu-cache/
K Closest Points to Origin,Medium,Heap,LeetCode,https://leetcode.com/problems/k-closest-points-to-origin/
Find the Duplicate Number,Medium,Array,LeetCode,https://leetcode.com/problems/find-the-duplicate-number/
2 Keys Keyboard,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/2-keys-keyboard/
Minimum Number of Days to Make m Bouquets,Medium,Binary Search,LeetCode,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
Maximum Length of Subarray With Positive Product,Medium,Array,LeetCode,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/
Maximum Performance of a Team,Hard,Heap,LeetCode,https://leetcode.com/problems/maximum-performance-of-a-team/
Valid Palindrome,Easy,Two Pointers,LeetCode,https://leetcode.com/problems/valid-palindrome/
Longest Repeating Character Replacement,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/longest-repeating-character-replacement/
Merge Triplets to Form Target Triplet,Medium,Greedy,LeetCode,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/
Minimum Operations to Reduce X to Zero,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/
Maximum Sum BST in Binary Tree,Hard,Tree,LeetCode,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/
Shortest Path in Binary Matrix,Medium,Graph,LeetCode,https://leetcode.com/problems/shortest-path-in-binary-matrix/
Find Largest Value in Each Tree Row,Medium,Tree,LeetCode,https://leetcode.com/problems/find-largest-value-in-each-tree-row/
Maximum Average Subarray I,Easy,Sliding Window,LeetCode,https://leetcode.com/problems/maximum-average-subarray-i/
Car Pooling,Medium,Prefix Sum,LeetCode,https://leetcode.com/problems/car-pooling/
Non-overlapping Intervals,Medium,Greedy,LeetCode,https://leetcode.com/problems/non-overlapping-intervals/
Meeting Rooms,Easy,Interval,LeetCode,https://leetcode.com/problems/meeting-rooms/
Meeting Rooms II,Medium,Interval,LeetCode,https://leetcode.com/problems/meeting-rooms-ii/
Distinct Subsequences,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/distinct-subsequences/
Minimum Remove to Make Valid Parentheses,Medium,Stack,LeetCode,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
Maximum Width of Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/maximum-width-of-binary-tree/
Decode Ways II,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/decode-ways-ii/
Minimum Area Rectangle,Medium,Hash Table,LeetCode,https://leetcode.com/problems/minimum-area-rectangle/
Find Subsequence of Length K With the Largest Sum,Easy,Array,LeetCode,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum/
Best Team With No Conflicts,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/best-team-with-no-conflicts/
Find Minimum Time to Finish All Jobs,Hard,Backtracking,LeetCode,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/
Number of Dice Rolls With Target Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/
Minimum Cost to Cut a Stick,Hard,Dynamic Programming,LeetCode,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
Maximum Number of Events That Can Be Attended,Medium,Greedy,LeetCode,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/
Longest Subarray of 1's After Deleting One Element,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/
Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,Graph,LeetCode,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
Minimum Swaps to Group All 1's Together II,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/
Construct Smallest Number From DI String,Medium,Stack,LeetCode,https://leetcode.com/problems/construct-smallest-number-from-di-string/
Maximum Number of Achievable Transfer Requests,Hard,Backtracking,LeetCode,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/
Subarray Product Less Than K,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/subarray-product-less-than-k/
Kth Missing Positive Number,Easy,Binary Search,LeetCode,https://leetcode.com/problems/kth-missing-positive-number/
Maximum Bags With Full Capacity of Rocks,Medium,Greedy,LeetCode,https://leetcode.com/problems/maximum-bags-with-full-capacity-of-rocks/
Largest Number,Medium,Greedy,LeetCode,https://leetcode.com/problems/largest-number/
Minimum Flips to Make a OR b Equal to c,Medium,Bit Manipulation,LeetCode,https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c/
Maximum Erasure Value,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/maximum-erasure-value/
Count Good Nodes in Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
Shortest Palindrome,Hard,String,LeetCode,https://leetcode.com/problems/shortest-palindrome/
Partition Labels,Medium,Greedy,LeetCode,https://leetcode.com/problems/partition-labels/
Minimum Time to Make Rope Colorful,Medium,Greedy,LeetCode,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/
Maximum Ice Cream Bars,Medium,Greedy,LeetCode,https://leetcode.com/problems/maximum-ice-cream-bars/
Remove K Digits,Medium,Stack,LeetCode,https://leetcode.com/problems/remove-k-digits/
Minimum Number of Operations to Move All Balls to Each Box,Medium,Prefix Sum,LeetCode,https://leetcode.com/problems/minimum-number-of-operations-to-move-all-balls-to-each-box/
Largest Odd Number in String,Easy,String,LeetCode,https://leetcode.com/problems/largest-odd-number-in-string/
Count Number of Nice Subarrays,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/count-number-of-nice-subarrays/
Minimum Deletions to Make Character Frequencies Unique,Medium,Greedy,LeetCode,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/
Maximum Alternating Subsequence Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximum-alternating-subsequence-sum/
Frequency of the Most Frequent Element,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/frequency-of-the-most-frequent-element/
Minimum Number of Arrows to Burst Balloons,Medium,Greedy,LeetCode,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
Maximum Depth of N-ary Tree,Easy,Tree,LeetCode,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/
N-ary Tree Preorder Traversal,Easy,Tree,LeetCode,https://leetcode.com/problems/n-ary-tree-preorder-traversal/
N-ary Tree Postorder Traversal,Easy,Tree,LeetCode,https://leetcode.com/problems/n-ary-tree-postorder-traversal/
Serialize and Deserialize N-ary Tree,Hard,Tree,LeetCode,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/
Find Duplicate File in System,Medium,Hash Table,LeetCode,https://leetcode.com/problems/find-duplicate-file-in-system/
Max Consecutive Ones III,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/max-consecutive-ones-iii/
Shortest Bridge,Medium,Graph,LeetCode,https://leetcode.com/problems/shortest-bridge/
Design Underground System,Medium,Design,LeetCode,https://leetcode.com/problems/design-underground-system/
Minimum Knight Moves,Medium,Graph,LeetCode,https://leetcode.com/problems/minimum-knight-moves/
Maximum Number of Vowels in a Substring of Given Length,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
Minimum Falling Path Sum,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/minimum-falling-path-sum/
Unique Number of Occurrences,Easy,Hash Table,LeetCode,https://leetcode.com/problems/unique-number-of-occurrences/
Can Place Flowers,Easy,Greedy,LeetCode,https://leetcode.com/problems/can-place-flowers/
Maximum Product of Splitted Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/
Sort Characters By Frequency,Medium,Heap,LeetCode,https://leetcode.com/problems/sort-characters-by-frequency/
Find Right Interval,Medium,Binary Search,LeetCode,https://leetcode.com/problems/find-right-interval/
Longest Mountain in Array,Medium,Two Pointers,LeetCode,https://leetcode.com/problems/longest-mountain-in-array/
Design HashSet,Easy,Design,LeetCode,https://leetcode.com/problems/design-hashset/
Design HashMap,Easy,Design,LeetCode,https://leetcode.com/problems/design-hashmap/
Min Cost Climbing Stairs,Easy,Dynamic Programming,LeetCode,https://leetcode.com/problems/min-cost-climbing-stairs/
Maximum Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/maximum-binary-tree/
Intersection of Two Linked Lists,Easy,Linked List,LeetCode,https://leetcode.com/problems/intersection-of-two-linked-lists/
Number of Subarrays with Bounded Maximum,Medium,Sliding Window,LeetCode,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/
